estacao data hora_gmt hora_local temp_bulbo_seco temp_bulbo_umido umidade_relativa pressao_atm lua_azimute lua_altitude lua_distancia sol_azimute sol_altitude sol_distancia latiude_estacao longitude_estacao altitude_estacao
82024 1976-09-02 18:00:00 1800 33.3125 24.5 48 1000.0 109.9462227250197 8.901662335459312 377090.2824707571 280.57274084837326 60.27285546960702 150893894.18233222 2.82 -60.66 83.0
82024 1976-09-03 00:00:00 0 28.796875 24.796875 72 1000.5 197.51156365889548 67.10268053598153 373040.12996691966 280.2386555976353 -28.736190749173794 150893138.0771652 2.82 -60.66 83.0
82024 1976-09-03 12:00:00 1200 25.796875 23.296875 81 1004.5 178.09916177522388 -74.47975961988696 386829.2128332809 83.08587130160741 29.63210046369163 150868139.69067383 2.82 -60.66 83.0
82024 1976-09-03 18:00:00 1800 32.8125 25.203125 54 1002.0 107.78905772455717 -3.4411352759480276 382002.39384001814 279.81779985338795 60.240490221680155 150856341.02733538 2.82 -60.66 83.0
82024 1976-09-04 00:00:00 0 28.296875 26.0 83 1001.0 164.1241600119524 68.92344824005922 376507.72271968005 279.83444201140765 -28.863749361043972 150855525.6872293 2.82 -60.66 83.0
82024 1976-09-04 12:00:00 1200 26.09375 23.09375 78 1005.0 220.97255325972193 -71.92409537659209 390286.4688932721 83.50865600159864 29.719395006386982 150830375.5596566 2.82 -60.66 83.0
82024 1976-09-04 18:00:00 1800 32.09375 24.09375 51 1001.5 105.47887381634224 -15.532781861149205 386853.2636424384 279.0602855500654 60.20283523453803 150818526.22234955 2.82 -60.66 83.0
82024 1976-09-05 00:00:00 0 27.203125 24.203125 78 1000.5 134.80882942119868 64.51896439085532 380223.19357580144 279.4272339886291 -28.991544151514095 150817662.7076814 2.82 -60.66 83.0
82024 1976-09-05 12:00:00 1200 26.296875 24.0 83 1004.0 244.8454265078088 -63.58867412680929 393430.10835105774 83.93432012829294 29.80653577643896 150792382.08126736 2.82 -60.66 83.0
82024 1976-09-05 18:00:00 1800 32.5 24.09375 49 1000.5 102.79773906328728 -27.363400209592026 391540.3925243856 278.30066359602466 60.15991461461676 150780492.20009777 2.82 -60.66 83.0
82024 1976-09-06 00:00:00 0 28.203125 24.796875 76 998.0 116.43524527838895 56.46157832456161 384122.04078274104 279.0170936723194 -29.11944897900117 150779589.55496666 2.82 -60.66 83.0
82024 1976-09-06 12:00:00 1200 26.09375 23.203125 45 1003.5 256.93619820615305 -53.41095189067656 396250.72180554905 84.3627797823854 29.8934037136526 150754195.58418322 2.82 -60.66 83.0
82024 1976-09-06 18:00:00 1800 32.90625 24.296875 49 1000.5 99.41532209860173 -38.90805647936157 395981.1926551557 277.53939272432024 60.11176296850098 150742273.18513957 2.82 -60.66 83.0
82024 1976-09-07 00:00:00 0 29.0 24.703125 71 999.5 105.08033442354183 46.90875576101479 388134.7195672256 278.60408343609254 -29.24733517091297 150741338.33600968 2.82 -60.66 83.0
82024 1976-09-07 12:00:00 1200 27.0 23.296875 73 1003.5 264.1903607477088 -42.70826745507329 398739.2125625799 84.79394995512114 29.97987789819474 150715843.97490594 2.82 -60.66 83.0
82024 1976-09-07 18:00:00 1800 33.3125 25.703125 54 1001.0 94.70452067565148 -50.10738036735995 400091.0828351961 276.7769240100909 60.05842441433771 150703894.96607354 2.82 -60.66 83.0
82024 1976-09-08 00:00:00 0 29.296875 25.796875 76 1001.0 97.33842358100833 36.7847640540264 392167.59413418104 278.1882667859257 -29.375072456757024 150702932.7361759 2.82 -60.66 83.0
82024 1976-09-08 12:00:00 1200 26.203125 23.90625 83 1004.5 269.2436316709232 -31.882182162604565 400866.1669751012 85.22774386079374 30.065836360520716 150677346.8434228 2.82 -60.66 83.0
82024 1976-09-08 18:00:00 1800 34.0 23.5 41 1002.0 87.22075506921861 -60.8100443492631 403767.1979042289 276.0137003903283 59.9999517961498 150665375.10240546 2.82 -60.66 83.0
82024 1976-09-09 00:00:00 0 29.0 24.296875 68 1001.0 91.50091105822942 26.463199614533046 396091.11056725297 277.7697089794898 -29.502529504878577 150664388.32140195 2.82 -60.66 83.0
82024 1976-09-09 12:00:00 1200 27.296875 22.296875 65 1004.5 273.1762372974865 -21.078285464268326 402569.4830119038 85.66407228801451 30.151156713576157 150638715.9368718 2.82 -60.66 83.0
82024 1976-09-09 18:00:00 1800 33.5 24.0 46 1001.0 72.89836102794217 -70.54280101481487 406880.45613348746 275.25015644887446 59.93640597165693 150626723.4743427 2.82 -60.66 83.0
82024 1976-09-10 00:00:00 0 30.296875 23.703125 57 1001.0 86.7085566112512 16.106854736652714 399737.4251119236 277.3484778561948 -29.629574524080436 150625713.1574649 2.82 -60.66 83.0
82024 1976-09-10 12:00:00 1200 27.0 22.796875 70 1004.5 276.5096079237515 -10.35207448902009 403751.8426071148 86.10284304167695 30.2357168145001 150599955.8980246 2.82 -60.66 83.0
