estacao data hora_gmt hora_local temp_bulbo_seco temp_bulbo_umido umidade_relativa pressao_atm lua_azimute lua_altitude lua_distancia sol_azimute sol_altitude sol_distancia latiude_estacao longitude_estacao altitude_estacao
83784 1976-08-25 12:00:00 1200 19.203125 16.59375 76 954.5 61.9006202584374 37.2420351110478 365159.52628379955 58.33125639461073 33.75907558972104 151188498.99213377 -23.03 -45.55 577.0
83784 1976-08-25 18:00:00 1800 26.40625 16.40625 31 951.5 299.1807634245651 40.385699942664345 364077.1924463567 303.10529822168536 35.42729751716678 151180085.84295848 -23.03 -45.55 577.0
83784 1976-08-26 00:00:00 0 16.40625 14.796875 83 954.0 256.8660167906792 -36.925688707264236 371319.2203062794 261.93031021070885 -44.385685666176336 151179945.66750982 -23.03 -45.55 577.0
83784 1976-08-26 12:00:00 1200 20.203125 17.203125 74 955.0 74.5593290090156 28.826168572880555 363196.84757499094 58.61545392382781 34.023361519870704 151155173.49402758 -23.03 -45.55 577.0
83784 1976-08-26 18:00:00 1800 26.796875 16.0 28 951.5 305.37623075319044 53.29227212935099 360649.0167335422 302.7168493972798 35.58868928943814 151146597.3396071 -23.03 -45.55 577.0
83784 1976-08-27 00:00:00 0 18.0 15.6015625 77 953.0 258.2826075181458 -23.36589560881362 367921.2967156811 261.4419435371565 -44.317715881798925 151146294.5594627 -23.03 -45.55 577.0
83784 1976-08-27 12:00:00 1200 20.0 17.0 74 954.5 85.33748406971337 19.30492375328502 362732.842997865 58.902751405070866 34.29001249164008 151121163.4661899 -23.03 -45.55 577.0
83784 1976-08-27 18:00:00 1800 26.40625 17.59375 39 950.5 317.02121606998674 65.70850470684637 358835.0614472943 302.3229189745071 35.74908584917773 151112429.9178425 -23.03 -45.55 577.0
83784 1976-08-28 00:00:00 0 19.0 15.203125 66 951.5 259.4537135688603 -9.697821862482735 365703.0018728537 260.95038056905327 -44.248252174387225 151111970.5772604 -23.03 -45.55 577.0
83784 1976-08-28 12:00:00 1200 20.0 16.203125 67 954.0 94.89524445479046 9.169970256464241 363711.5322604595 59.19315669910717 34.55891945710365 151086495.8966424 -23.03 -45.55 577.0
83784 1976-08-28 18:00:00 1800 27.796875 19.0 41 950.0 346.5835238892935 75.75447789991878 358655.36336232733 301.92359945542177 35.908412988539084 151077614.20648026 -23.03 -45.55 577.0
83784 1976-08-29 00:00:00 0 16.59375 15.3984375 88 953.0 260.5814682598632 3.957402529189634 364687.9939570599 260.45579476206973 -44.17724517146075 151077007.88782942 -23.03 -45.55 577.0
83784 1976-08-29 12:00:00 1200 17.40625 16.203125 88 957.0 103.81941934947122 -1.1978423289730966 365933.25482219766 59.48668116980177 34.82996966140442 151051211.65346915 -23.03 -45.55 577.0
83784 1976-08-29 18:00:00 1800 17.203125 15.203125 80 957.0 45.45193599852213 76.32324619737331 359974.9061422378 301.5189889756262 36.06660124089536 151042194.14817926 -23.03 -45.55 577.0
83784 1976-08-30 00:00:00 0 15.0 13.6015625 85 959.0 261.8268632085594 17.494932519094505 364789.9632924052 259.95836275294675 -44.10464299561671 151041453.3005206 -23.03 -45.55 577.0
83784 1976-08-30 12:00:00 1200 17.796875 14.796875 72 958.5 112.63499473564973 -11.491372154674066 369105.0125662977 59.78334049527193 35.1030455324078 151015362.63092318 -23.03 -45.55 577.0
83784 1976-08-30 18:00:00 1800 22.0 16.40625 54 956.0 77.36117189349915 66.91020387433151 362548.082532845 301.10919233896533 36.22358690776305 151006223.7916285 -23.03 -45.55 577.0
83784 1976-08-31 00:00:00 0 16.59375 14.6015625 80 957.0 263.38637839846683 30.83214993968819 365849.56487780286 259.458265297048 -44.03039045222818 151005362.75662985 -23.03 -45.55 577.0
83784 1976-08-31 12:00:00 1200 17.40625 14.6015625 73 958.0 121.8642917718003 -21.43791255069975 372901.1515828458 60.08315526572117 35.37802418577683 150979007.79960474 -23.03 -45.55 577.0
83784 1976-08-31 18:00:00 1800 25.796875 18.0 44 953.0 89.54941303332073 54.99652278857408 366076.96386080136 300.6943210033083 36.37931273848621 150969763.2071372 -23.03 -45.55 577.0
83784 1976-09-01 00:00:00 0 17.59375 14.796875 74 954.0 265.60187904321 43.90476058496539 367678.6795521134 258.95568671450366 -43.954428650075215 150968797.16614145 -23.03 -45.55 577.0
83784 1976-09-01 12:00:00 1200 20.0 16.59375 70 955.0 132.09501195476184 -30.75232819776805 377017.37144103413 60.38615146270088 35.654777514397445 150942209.04029617 -23.03 -45.55 577.0
83784 1976-09-01 18:00:00 1800 25.59375 17.59375 43 950.0 95.71180591205449 42.6239138370413 370265.59745896974 300.2744925795284 36.533728537321686 150932874.38747022 -23.03 -45.55 577.0
83784 1976-09-02 00:00:00 0 17.40625 14.0 68 950.5 269.263286402396 56.644050758410515 370099.1698170911 258.4508148805387 -43.87669493179253 150931818.41393414 -23.03 -45.55 577.0
83784 1976-09-02 12:00:00 1200 21.203125 16.59375 62 951.5 144.02794464226616 -39.07583901902689 381206.7986339198 60.69236071256563 35.93317265462866 150905027.450825 -23.03 -45.55 577.0
83784 1976-09-02 18:00:00 1800 27.59375 19.0 42 947.5 99.5571208878901 30.235229705834488 374857.6201684582 299.8498300371909 36.68679113285211 150895617.73752874 -23.03 -45.55 577.0
83784 1976-09-03 00:00:00 0 20.0 16.796875 72 948.5 276.873184343206 68.88655063900643 372967.2013879009 257.9438401894249 -43.7971233128175 150894486.04579198 -23.03 -45.55 577.0
83784 1976-09-03 12:00:00 1200 21.0 16.796875 64 949.0 158.41387131590338 -45.90508857899867 385294.55137065717 61.00182000815212 36.21307267583359 150867520.44419518 -23.03 -45.55 577.0
83784 1976-09-03 18:00:00 1800 28.796875 18.0 31 945.0 102.3269019844448 17.962652450160103 379652.548311871 299.4204607153561 36.83846410073399 150858049.3797615 -23.03 -45.55 577.0
83784 1976-09-04 00:00:00 0 17.203125 15.203125 80 946.0 301.32593619858596 79.72278111517672 376180.0605453595 257.43495512503796 -43.7156452190985 150856854.77724814 -23.03 -45.55 577.0
83784 1976-09-04 12:00:00 1200 20.203125 17.0 72 946.5 175.65816978685436 -50.56468618006389 389173.2712607707 61.31457131627599 36.494337131546274 150829739.64441025 -23.03 -45.55 577.0
83784 1976-09-04 18:00:00 1800 30.0 18.40625 29 943.0 104.55687410160246 5.853231815596616 384502.968159145 298.9865156967595 36.98871744249302 150820219.23148257 -23.03 -45.55 577.0
83784 1976-09-05 00:00:00 0 17.796875 16.0 82 945.0 21.785217015472732 81.3609459866638 379667.60540892044 256.9243539136288 -43.632189977924604 150818972.7437759 -23.03 -45.55 577.0
83784 1976-09-05 12:00:00 1200 16.796875 15.6015625 88 949.0 194.993519283827 -52.37198623809097 392785.3707970111 61.630660879813696 36.77682255367455 150791729.45830193 -23.03 -45.55 577.0
83784 1976-09-05 18:00:00 1800 16.40625 15.6015625 92 948.5 106.53788500117115 -6.073548717250843 389298.73211297154 298.5481292129159 37.13752689398233 150782169.72721168 -23.03 -45.55 577.0
83784 1976-09-06 00:00:00 0 15.3984375 15.0 96 950.0 54.87625388803593 71.65294477170578 383373.7624923115 256.4122323993122 -43.546685910255526 150780880.3677663 -23.03 -45.55 577.0
83784 1976-09-06 12:00:00 1200 16.203125 15.6015625 94 950.5 214.19949252894122 -51.06257040363317 396098.7237213565 61.950138296999164 37.06038287448013 150753526.21784243 -23.03 -45.55 577.0
83784 1976-09-06 18:00:00 1800 20.203125 17.59375 77 948.0 108.47590304687417 -17.806314554540744 393945.3954421852 298.10543836019843 37.2848732705512 150743935.09328935 -23.03 -45.55 577.0
83784 1976-09-07 00:00:00 0 17.0 16.203125 92 949.5 64.10633558830037 60.39507756848566 387234.6991110105 255.89878804508064 -43.45906101847825 150742609.76220217 -23.03 -45.55 577.0
83784 1976-09-07 12:00:00 1200 16.796875 16.40625 96 949.5 231.0771345254322 -47.04620354617098 399082.094586465 62.273055449370595 37.34486978265124 150715157.8327114 -23.03 -45.55 577.0
83784 1976-09-07 18:00:00 1800 17.59375 17.203125 96 948.5 110.57401733331947 -29.334073647575746 398343.4314575855 297.65858281675554 37.430741580220996 150705541.12011525 -23.03 -45.55 577.0
83784 1976-09-08 00:00:00 0 16.0 15.796875 98 948.0 68.35947155405837 49.013518278585565 391159.8450149974 255.38422004009087 -43.36924418329693 150704184.61862183 -23.03 -45.55 577.0
83784 1976-09-08 12:00:00 1200 17.796875 17.40625 96 948.5 244.88561041914772 -41.09866785629273 401685.36775811267 62.599465344433 37.6301330474485 150676643.89599824 -23.03 -45.55 577.0
83784 1976-09-08 18:00:00 1800 23.59375 19.796875 70 945.5 113.11411834914811 -40.64136328069877 402373.0632825713 297.20770476412696 37.575120285369486 150667005.3690491 -23.03 -45.55 577.0
83784 1976-09-09 00:00:00 0 18.796875 18.0 92 946.5 70.93246588558439 37.71588195344902 395020.28700381576 254.86872938305794 -43.27716588878361 150665620.50925335 -23.03 -45.55 577.0
83784 1976-09-09 12:00:00 1200 17.796875 15.0 74 949.5 256.0231791229144 -33.93079338398415 403827.93544862303 62.92942107376012 37.9160207050156 150637996.1579037 -23.03 -45.55 577.0
83784 1976-09-09 18:00:00 1800 23.796875 18.40625 58 946.5 116.61771145523694 -51.69840888045479 405887.4362819311 296.75294894518345 37.718000590177574 150628337.72224063 -23.03 -45.55 577.0
83784 1976-09-10 00:00:00 0 18.203125 17.59375 94 948.0 72.78754279599679 26.55062560242228 398646.77589641634 254.35251910149736 -43.18275909738927 150626925.50629452 -23.03 -45.55 577.0
83784 1976-09-10 12:00:00 1200 17.0 15.796875 88 948.5 265.20195658129114 -26.035519187096842 405396.7056445697 63.26297480279228 38.202379312975765 150599219.26425636 -23.03 -45.55 577.0
83784 1976-09-10 18:00:00 1800 19.796875 17.40625 78 946.5 122.32621785910678 -62.42530522057141 408714.784724104 296.29446257923763 37.85937581423045 150589541.1713044 -23.03 -45.55 577.0
83784 1976-09-11 00:00:00 0 17.203125 16.59375 94 948.5 74.31654195820332 15.521775946067349 401837.2859716672 253.83579407621312 -43.085959947925744 150588101.01434156 -23.03 -45.55 577.0
83784 1976-09-11 12:00:00 1200 14.0 13.6015625 95 952.5 273.0589438525462 -17.717416548686984 406253.41734192206 63.600176976827825 38.48905413588947 150560311.6573231 -23.03 -45.55 577.0
83784 1976-09-11 18:00:00 1800 17.59375 15.203125 77 951.5 134.1806579514524 -72.52344561374358 410668.60595664475 295.83239529465897 37.999241091446414 150550612.7426087 -23.03 -45.55 577.0
83784 1976-09-12 00:00:00 0 14.3984375 13.0 85 953.0 75.7259243652686 4.611446988408636 404372.31835768867 253.31876117269803 -42.98670819925288 150549142.71325666 -23.03 -45.55 577.0
83784 1976-09-12 12:00:00 1200 16.203125 14.796875 85 952.5 280.0894237262303 -9.15589516921353 406249.6276496105 63.94107565401517 38.7758894043033 150521266.53179723 -23.03 -45.55 577.0
83784 1976-09-12 18:00:00 1800 18.40625 16.203125 79 950.0 168.73956369141754 -80.3195582255208 411563.8819063052 295.3668991138335 38.13759282842331 150511544.4482527 -23.03 -45.55 577.0
83784 1976-09-13 00:00:00 0 15.203125 15.0 98 952.0 77.15839441144222 -6.213563635013365 406035.2575728228 252.80162872480446 -42.884947855615565 150510041.49585712 -23.03 -45.55 577.0
83784 1976-09-13 12:00:00 1200 15.6015625 15.3984375 98 952.0 286.6838332064172 -0.45467749476534824 405247.046128909 64.28571597840305 39.06272850236154 150482072.72078264 -23.03 -45.55 577.0
83784 1976-09-13 18:00:00 1800 21.0 18.796875 80 948.0 232.343076472118 -79.02904630820368 411237.1026680446 294.898128258586 38.27442873031623 150472324.13395765 -23.03 -45.55 577.0
83784 1976-09-14 00:00:00 0 16.796875 16.59375 98 950.5 78.74883487638553 -16.99801045128199 406635.0408423041 252.2846064294066 -42.780627187523926 150470784.27006227 -23.03 -45.55 577.0
83784 1976-09-14 12:00:00 1200 20.59375 18.59375 82 948.0 293.18245246012737 8.323560036388201 403140.78876215033 64.63413994453579 39.34941411808501 150442715.38673156 -23.03 -45.55 577.0
