--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS SALES - CE (OMM: 82777)
Latitude  (graus) : -7
Longitude (graus) : -40.38
Altitude  (metros): 583.50
Estação Operante
Inicio de operação: 01/06/1960
Periodo solicitado dos dados: 25/08/1976 a 25/08/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82777;22/09/1976;1800;32.8;19;27;943.7;5;3;4;
82777;23/09/1976;0000;27.2;17.2;37;946.1;14;1;3;
82777;23/09/1976;1200;25;19.8;63;948.2;9;7;3;
82777;23/09/1976;1800;33.4;20;29;942.4;5;3;6;
82777;24/09/1976;0000;28.4;18.6;39;943.8;14;2;3;
82777;24/09/1976;1200;26.4;18.8;49;946.3;5;7;0;
82777;24/09/1976;1800;33.2;20.8;33;941.7;27;8;8;
82777;25/09/1976;0000;24.4;19.8;66;945.5;27;3;0;
82777;25/09/1976;1200;20.9;20.2;94;947.5;5;6;10;
82777;25/09/1976;1800;30.2;20;39;942.9;5;5;8;
82777;26/09/1976;0000;26.4;19.8;55;945.6;14;4;5;
82777;26/09/1976;1200;21.3;20;89;948.5;9;8;10;
82777;26/09/1976;1800;29.4;20.8;47;944.1;9;5;8;
82777;27/09/1976;0000;23.9;19.8;70;945.6;14;2;0;
82777;27/09/1976;1200;24.6;19.6;64;947.4;9;8;10;
82777;27/09/1976;1800;30;20.8;44;943.2;9;8;10;
82777;28/09/1976;0000;26.4;19.6;54;944.5;14;2;4;
82777;28/09/1976;1200;23.5;19.2;68;945.3;9;8;8;
82777;28/09/1976;1800;32.8;21;35;940.6;5;6;5;
82777;29/09/1976;0000;27.6;19.6;49;942.1;14;3;6;
82777;29/09/1976;1200;23.1;19.4;72;945.3;9;6;10;
82777;29/09/1976;1800;28.6;20.6;50;941.9;9;6;10;
82777;30/09/1976;0000;25.2;19.4;59;944.2;27;3;10;
82777;30/09/1976;1200;21.9;19.8;83;946.7;36;7;10;
82777;30/09/1976;1800;28.8;21.6;54;942.9;5;6;10;
82777;01/10/1976;0000;26.2;20.8;63;944.8;9;8;10;
82777;01/10/1976;1200;21.7;19.4;81;947.3;5;4;10;
82777;01/10/1976;1800;28;20.6;52;943.5;5;5;8;
82777;02/10/1976;0000;23.7;20.6;76;945.8;27;6;10;
82777;02/10/1976;1200;24.2;19.4;65;946.7;9;7;7;
82777;02/10/1976;1800;31.2;20.4;38;941.7;14;5;3;
82777;03/10/1976;0000;26.8;18;43;943.8;14;2;2;
82777;03/10/1976;1200;24.4;20.2;69;946.9;5;7;8;
82777;03/10/1976;1800;29.6;21.8;52;942.5;14;8;6;
82777;04/10/1976;0000;22.1;19.4;78;945.3;14;7;4;
82777;04/10/1976;1200;25;18.4;54;946.7;14;7;4;
82777;04/10/1976;1800;30;20.6;43;943.1;14;7;5;
82777;05/10/1976;0000;22.9;18.6;68;945.8;0;0;0;
82777;05/10/1976;1200;24.6;19.2;62;946.8;14;8;5;
82777;05/10/1976;1800;30.4;20.6;41;942.2;14;4;8;
82777;06/10/1976;0000;25;19.4;60;943.7;14;6;0;
82777;06/10/1976;1200;24.4;19.4;63;945.9;5;7;6;
82777;06/10/1976;1800;32.2;21.4;39;941.1;5;5;4;
82777;07/10/1976;0000;26.4;20;56;943.4;14;3;0;
82777;07/10/1976;1200;25.2;20.2;64;945.6;9;9;9;
82777;07/10/1976;1800;31.4;21;40;940.9;5;7;5;
82777;08/10/1976;0000;25.2;19.2;58;943.9;5;3;3;
82777;08/10/1976;1200;25;20;64;947.4;9;8;8;
82777;08/10/1976;1800;30.6;20.4;41;942.2;5;8;6;
82777;09/10/1976;0000;24.2;16.6;47;943.8;14;3;0;
82777;09/10/1976;1200;25.6;19.4;57;945.8;5;8;8;
82777;09/10/1976;1800;31.8;19.4;32;941.2;5;8;4;
82777;10/10/1976;0000;25.8;17.6;45;943;14;4;0;
82777;10/10/1976;1200;21.4;15.8;56;946.3;5;8;5;
82777;10/10/1976;1800;32.4;20;32;942.7;9;8;4;
82777;11/10/1976;0000;27;19.2;49;944.7;9;5;4;
82777;11/10/1976;1200;21;19.6;88;946.9;14;8;6;
82777;11/10/1976;1800;33.4;21;33;942.8;9;6;5;
82777;12/10/1976;0000;21.6;18.4;74;945.3;14;3;0;
82777;12/10/1976;1200;26.2;20;57;947.2;9;5;0;
82777;12/10/1976;1800;34;20.2;28;942.4;5;3;6;
82777;13/10/1976;0000;27.6;18.4;42;945.3;14;3;0;
82777;13/10/1976;1200;25;19.2;59;947.8;5;6;8;
82777;13/10/1976;1800;31.8;20.4;36;942.4;9;6;5;
82777;14/10/1976;0000;25.2;21;69;946.3;14;4;10;
82777;14/10/1976;1200;20.3;19.6;94;948.4;9;5;10;
82777;14/10/1976;1800;28.4;20.2;48;944.3;9;4;8;
82777;15/10/1976;0000;24.2;21.6;80;946.9;0;0;4;
82777;15/10/1976;1200;24.8;20.4;68;948.4;9;8;10;
82777;15/10/1976;1800;29;21.2;51;945;14;8;7;
82777;16/10/1976;0000;23.9;19.8;70;946.7;14;3;0;
82777;16/10/1976;1200;23.1;20.2;77;948.3;9;8;9;
82777;16/10/1976;1800;29.4;20.8;47;943.4;9;4;10;
82777;17/10/1976;0000;25.2;18.8;55;945.7;14;1;3;
82777;17/10/1976;1200;22.7;20.2;80;947.2;9;8;9;
82777;17/10/1976;1800;29.6;20.8;46;943.1;9;7;5;
82777;18/10/1976;0000;23.7;20.2;74;945.3;0;0;2;
82777;18/10/1976;1200;25.8;20.4;63;946.5;9;7;4;
82777;18/10/1976;1800;30.4;20.4;40;941.9;5;5;6;
82777;19/10/1976;0000;26.8;20.4;57;944.4;14;2;5;
82777;19/10/1976;1200;23.1;20.4;78;946.8;14;8;10;
82777;19/10/1976;1800;31;21.6;40;943;5;7;4;
82777;20/10/1976;0000;24.2;19.8;68;945.7;14;1;0;
82777;20/10/1976;1200;25.2;20.8;68;946.9;14;7;9;
82777;20/10/1976;1800;30.2;21.4;46;942.5;5;7;5;
82777;21/10/1976;0000;24.8;20.4;68;944.3;14;2;0;
82777;21/10/1976;1200;24.8;20.6;70;946.2;5;7;9;
82777;21/10/1976;1800;30.4;21.4;45;941.3;9;6;6;
82777;22/10/1976;0000;22.7;21.4;89;944.3;9;1;8;
82777;22/10/1976;1200;20.9;20.6;97;946.9;5;2;10;
82777;22/10/1976;1800;24.6;20.8;73;943.8;5;2;10;
82777;23/10/1976;0000;22.7;20;78;945.3;9;1;10;
82777;23/10/1976;1200;23.9;19.8;70;947.2;14;8;10;
82777;23/10/1976;1800;27.2;22;65;944.1;5;3;8;
82777;24/10/1976;0000;22.9;20.8;83;945.3;14;2;4;
82777;24/10/1976;1200;21.4;20.4;91;945.8;14;6;6;
82777;24/10/1976;1800;31.2;21.2;41;941.3;9;5;4;
82777;25/10/1976;0000;24.2;20;69;943;0;0;0;
82777;25/10/1976;1200;25.6;20.6;65;945;14;8;6;
82777;25/10/1976;1800;29.6;21;48;941;9;8;4;
82777;26/10/1976;0000;21.9;19;76;942.8;0;0;0;
82777;26/10/1976;1200;22.1;19.8;81;946.1;9;8;10;
82777;26/10/1976;1800;30.2;19.8;38;942.7;9;6;5;
82777;27/10/1976;0000;21.9;18.2;71;943.8;14;3;3;
82777;27/10/1976;1200;24.4;20.6;72;945.6;5;8;8;
82777;27/10/1976;1800;31.6;21.4;42;941.3;9;6;5;
82777;28/10/1976;0000;24.2;19.4;65;943.8;0;0;0;
82777;28/10/1976;1200;25.8;20.8;65;945.5;5;6;5;
82777;28/10/1976;1800;32.8;20;31;941.4;14;4;4;
82777;29/10/1976;0000;25;20.2;66;944.1;9;1;0;
82777;29/10/1976;1200;25.2;20.6;67;946.2;5;6;7;
82777;29/10/1976;1800;31;20.6;40;942;9;3;2;
82777;30/10/1976;0000;22.5;18.4;68;943.7;14;1;0;
82777;30/10/1976;1200;23.7;19.6;70;947.1;9;7;8;
82777;30/10/1976;1800;30.4;20.4;40;944.8;5;4;2;
82777;31/10/1976;0000;22.3;18.2;68;945.7;14;1;0;
82777;31/10/1976;1200;25;20.4;67;947;9;7;5;
82777;31/10/1976;1800;29.2;21.2;50;942.7;5;5;8;
82777;01/11/1976;0000;22.5;21.2;89;944.5;0;0;3;
82777;01/11/1976;1200;23.9;20.4;74;946.8;5;5;7;
82777;01/11/1976;1800;31;21.2;42;941.7;14;3;4;
82777;02/11/1976;0000;23.9;18.8;63;943.2;0;0;0;
82777;02/11/1976;1200;23.9;20.2;73;946.7;5;7;8;
82777;02/11/1976;1800;31;21;41;942;5;6;4;
82777;03/11/1976;0000;25;19.6;62;943.2;9;1;2;
82777;03/11/1976;1200;25.4;20;62;945.2;9;8;5;
82777;03/11/1976;1800;30.8;20.4;40;941.5;9;6;2;
82777;04/11/1976;0000;23.9;18.4;60;943.7;5;1;0;
82777;04/11/1976;1200;25.2;19.8;62;946;5;8;2;
82777;04/11/1976;1800;31;19.4;34;941.2;5;7;3;
82777;05/11/1976;0000;23.1;17.4;58;943.2;0;0;0;
82777;05/11/1976;1200;24.4;19.6;65;945;5;7;8;
82777;05/11/1976;1800;31.4;20.4;37;940.5;9;4;0;
82777;06/11/1976;0000;23.3;18.8;66;942.4;14;2;0;
82777;06/11/1976;1200;25.6;19.8;60;943.8;9;3;0;
82777;06/11/1976;1800;32.6;21.2;37;939;5;8;2;
82777;07/11/1976;0000;25.4;20.6;66;941.7;9;3;5;
82777;07/11/1976;1200;24.2;19.4;65;945.4;5;4;10;
82777;07/11/1976;1800;31;21.4;43;941.1;5;5;2;
82777;08/11/1976;0000;25;20.2;66;943.1;14;2;0;
82777;08/11/1976;1200;23.9;20;71;946.5;5;8;10;
82777;08/11/1976;1800;30;21.4;48;942.9;5;4;4;
82777;09/11/1976;0000;23.9;19.8;70;945.2;0;0;2;
82777;09/11/1976;1200;24.2;20.4;72;948.4;9;8;5;
82777;09/11/1976;1800;31.2;19.2;32;944.1;14;8;2;
82777;10/11/1976;0000;22.9;17.4;59;945.2;14;2;0;
82777;10/11/1976;1200;25;19.6;62;947.7;9;6;4;
82777;10/11/1976;1800;30.2;20;39;943;5;4;6;
82777;11/11/1976;0000;24.4;18.6;58;944.1;14;2;4;
82777;11/11/1976;1200;24.8;20.4;68;946.3;9;5;8;
82777;11/11/1976;1800;31.6;20.8;39;941.3;9;6;4;
82777;12/11/1976;0000;25.4;18.8;54;942.4;14;3;0;
82777;12/11/1976;1200;25.4;20.6;66;946.4;5;8;8;
82777;12/11/1976;1800;30.2;20.6;42;942.3;5;7;4;
82777;13/11/1976;0000;25.4;19.8;60;944.7;0;0;0;
82777;13/11/1976;1200;26.4;21;63;946.2;5;5;7;
82777;13/11/1976;1800;31.6;21.2;41;941.8;9;4;5;
82777;14/11/1976;0000;22.3;21.2;91;944.2;32;5;10;
82777;14/11/1976;1200;24.4;21;74;946.1;5;7;10;
82777;14/11/1976;1800;25.4;20.6;66;943.2;5;7.1;9;
82777;15/11/1976;0000;22.7;20.4;81;945.3;5;3;8;
82777;15/11/1976;1200;24.2;20;69;945.7;5;8;10;
