CODIGO ESTACAO: 83914 
LATITUDE ESTACAO: -28.21 
bin_center media erro nobs
-86.0869565217 -0.215211925955 0.18910882105432908 58
-78.2608695652 -0.369867531208 0.08037022601486253 307
-70.4347826087 -0.339554719023 0.06768174808412428 452
-62.6086956522 -0.268653081352 0.059587189851948726 570
-54.7826086957 -0.233246901834 0.0515574281291358 717
-46.9565217391 -0.208797059368 0.04669017069736948 906
-39.1304347826 -0.167029495446 0.04133967685114648 1136
-31.3043478261 -0.150528618206 0.043904163525866 1045
-23.4782608696 -0.214188095035 0.0469621904309482 918
-15.652173913 -0.194760648761 0.04819827626949951 866
-7.82608695652 -0.194547161535 0.04981752196711877 853
0.0 -0.133541983384 0.04835545704470973 839
7.82608695652 -0.0839915812117 0.04811461716674043 860
15.652173913 -0.22098085887 0.04827718074067142 878
23.4782608696 -0.190980617467 0.04586362156777879 907
31.3043478261 -0.201895874207 0.04494963730530756 1031
39.1304347826 -0.178357762107 0.04124154164662168 1117
46.9565217391 -0.207731703085 0.04625661618830594 931
54.7826086957 -0.236004413077 0.053944326606586275 714
62.6086956522 -0.279048279373 0.058221971479870786 576
70.4347826087 -0.225505445694 0.07146189615158317 413
78.2608695652 -0.369699485738 0.08146258637416252 303
86.0869565217 -0.483312017614 0.16574592136968866 65
