CODIGO ESTACAO: 83235 
LATITUDE ESTACAO: -12.40 
bin_center media erro nobs
-86.0869565217 -0.314087427824 0.07031360381595446 339
-78.2608695652 -0.200306855292 0.04239709069180063 924
-70.4347826087 -0.160589830042 0.038274529966596284 1188
-62.6086956522 -0.1401756714 0.03268691034690132 1487
-54.7826086957 -0.0583238608816 0.030276874904439893 1805
-46.9565217391 -0.113707077762 0.0315883383134812 1730
-39.1304347826 -0.0953060859721 0.03213064939835508 1579
-31.3043478261 -0.170270076751 0.03296141094388893 1512
-23.4782608696 -0.077734134346 0.034343444177352925 1450
-15.652173913 -0.197727270747 0.034027824444628575 1422
-7.82608695652 -0.165373781453 0.03468242233465881 1464
0.0 -0.171983403754 0.03456755927969311 1445
7.82608695652 -0.093804318506 0.034603141187985756 1429
15.652173913 -0.117121971898 0.03529478322708512 1461
23.4782608696 -0.119498602687 0.03402092504756757 1473
31.3043478261 -0.0653048104777 0.03378517722458972 1460
39.1304347826 -0.104632740931 0.03259462740833872 1600
46.9565217391 -0.0668876133632 0.03176757198981113 1742
54.7826086957 -0.0484404909943 0.03046743592268826 1821
62.6086956522 -0.136874937375 0.03450159604954091 1471
70.4347826087 -0.18052908245 0.039162290931770684 1159
78.2608695652 -0.13246416269 0.04330366496371794 926
86.0869565217 -0.271040575663 0.07211233527271017 326
