CODIGO ESTACAO: 83985 
LATITUDE ESTACAO: -31.78 
bin_center media erro nobs
-86.0869565217 -0.19276608431 0.3867746414438592 14
-78.2608695652 -0.190429521407 0.13482282694485 106
-70.4347826087 0.169375061831 0.09225853557509447 211
-62.6086956522 0.255312578865 0.08369975612407154 268
-54.7826086957 0.0865763964925 0.07945850409987308 336
-46.9565217391 0.155912906443 0.06702911441203258 426
-39.1304347826 0.039104035165 0.061640985799846185 544
-31.3043478261 0.0433530739473 0.05625146200600377 592
-23.4782608696 0.210377242253 0.06584052585282218 476
-15.652173913 0.0803103373784 0.06209156598774799 498
-7.82608695652 0.0719653483878 0.06949181887599551 435
0.0 -0.0539498435786 0.06663923287541546 449
7.82608695652 0.158541009659 0.0635513857159909 478
15.652173913 0.0715622658404 0.06685840210691085 467
23.4782608696 0.0544820887317 0.06453986393634036 490
31.3043478261 0.141794848613 0.05609342515422116 591
39.1304347826 0.143670926543 0.06135848566385038 539
46.9565217391 0.125498014535 0.06690706959309262 452
54.7826086957 0.0595415689117 0.0734600885940226 329
62.6086956522 0.076157736716 0.09073173497348537 252
70.4347826087 0.00891769752366 0.09413567194598033 214
78.2608695652 0.162649333387 0.12887380746411778 116
86.0869565217 0.15157020477 0.4006975144143207 20
