CODIGO ESTACAO: 83997 
LATITUDE ESTACAO: -33.51 
bin_center media erro nobs
-86.0869565217 -0.421219633636 0.05160212702200995 790
-78.2608695652 -0.450042907367 0.031207214161497344 2000
-70.4347826087 -0.543841911971 0.026383447575252277 2818
-62.6086956522 -0.450142835984 0.023399820417241517 3604
-54.7826086957 -0.499539047934 0.0204420675516082 4800
-46.9565217391 -0.434939837816 0.019134086279857753 5490
-39.1304347826 -0.411458099245 0.019766096255200285 5274
-31.3043478261 -0.390467990754 0.020110797327392262 4962
-23.4782608696 -0.403089145749 0.020483241183329698 4806
-15.652173913 -0.358756482904 0.020981298111828608 4536
-7.82608695652 -0.405912680897 0.021125895275362055 4570
0.0 -0.408904193894 0.021362678414336544 4448
7.82608695652 -0.419321754216 0.02166057966023634 4350
15.652173913 -0.400570005026 0.021177337866683875 4664
23.4782608696 -0.455205588454 0.020744627338794806 4614
31.3043478261 -0.444029002049 0.02009798631548331 5034
39.1304347826 -0.428704443281 0.019371854870994056 5492
46.9565217391 -0.500213553532 0.018978762451676054 5508
54.7826086957 -0.441521238222 0.020470560412947317 4750
62.6086956522 -0.459410258428 0.0237936439877584 3570
70.4347826087 -0.507763234556 0.027217690948582864 2742
78.2608695652 -0.473341876854 0.03204276620534754 2084
86.0869565217 -0.621232727389 0.051415494579058266 764
