CODIGO ESTACAO: 82024 
LATITUDE ESTACAO: 2.82 
bin_center media erro nobs
-86.0869565217 -0.0455465032581 0.17926026789012206 51
-78.2608695652 0.0310083808422 0.09929731416322017 186
-70.4347826087 -0.0929993914334 0.07041186053695347 366
-62.6086956522 -0.0657586755284 0.06803794670669476 354
-54.7826086957 -0.0374432749289 0.0766765960521867 304
-46.9565217391 -0.0991893415133 0.07646012470025032 305
-39.1304347826 -0.0745368606383 0.07748438114456191 294
-31.3043478261 0.0336093566501 0.07917356413589466 285
-23.4782608696 -0.15042815663 0.08018407678406515 258
-15.652173913 -0.0305327797035 0.07957640616687667 279
-7.82608695652 -0.00185775388689 0.08076605097503228 270
0.0 0.0118378266198 0.07933400527154953 283
7.82608695652 0.00128269842653 0.07788308321633677 269
15.652173913 0.0232034645341 0.08212078521649732 266
23.4782608696 -0.0422095287396 0.08304194030519793 273
31.3043478261 -0.0772881279581 0.07762130015201076 290
39.1304347826 -0.0783790527257 0.07603577545083347 287
46.9565217391 -0.111869607337 0.07726745930865209 302
54.7826086957 -0.00337623842387 0.07454121297662059 302
62.6086956522 -0.0396264135815 0.06718557338027738 369
70.4347826087 0.0445095376345 0.07030778140905417 362
78.2608695652 0.0719992139074 0.09812190388224462 191
86.0869565217 -0.0325068546241 0.20023758676508652 49
