CODIGO ESTACAO: 83980 
LATITUDE ESTACAO: -31.33 
bin_center media erro nobs
-86.0869565217 -0.336376032943 0.2973964711027946 23
-78.2608695652 -0.11048330604 0.10811252109695632 175
-70.4347826087 -0.165020522449 0.08324465139114232 328
-62.6086956522 -0.0943516300008 0.07095811035149045 415
-54.7826086957 -0.0715875508462 0.06340581861955281 520
-46.9565217391 -0.0561286474174 0.05441074746038225 675
-39.1304347826 -0.0796345983016 0.05028315717192707 817
-31.3043478261 -0.0766797399172 0.04743618796242373 885
-23.4782608696 -0.007139274214 0.0552559227173078 698
-15.652173913 -0.0951419922618 0.053221361944485915 701
-7.82608695652 0.0354679645639 0.056587016677970725 655
0.0 -0.0372453382463 0.05707080726690991 634
7.82608695652 0.0890912936167 0.054877132185125174 673
15.652173913 -0.0147207592174 0.05524481847336952 702
23.4782608696 -0.074015403521 0.052193236741609104 742
31.3043478261 -0.0467294359731 0.04877238597141273 859
39.1304347826 0.0458940317588 0.05051654649789352 848
46.9565217391 -0.0412050198092 0.05690038004165275 663
54.7826086957 -0.142414700963 0.06271036252237139 508
62.6086956522 0.0102502744665 0.07542588944581873 396
70.4347826087 -0.168822102956 0.07881922145118612 327
78.2608695652 -0.12499541693 0.10817641221909573 187
86.0869565217 -0.687857247021 0.3329633986638895 21
