CODIGO ESTACAO: 82784 
LATITUDE ESTACAO: -7.31 
bin_center media erro nobs
-86.0869565217 -0.326891892038 0.0887265061848063 218
-78.2608695652 -0.287615623087 0.04786962204534161 708
-70.4347826087 -0.236439606688 0.04166684067753863 1011
-62.6086956522 -0.204668887984 0.037447064386012044 1288
-54.7826086957 -0.148535504866 0.03754509567258762 1269
-46.9565217391 -0.158009608471 0.03872047476617958 1140
-39.1304347826 -0.263648706234 0.039859651882548516 1124
-31.3043478261 -0.20225035664 0.041965706513325256 1059
-23.4782608696 -0.180688216184 0.040949418604259887 1077
-15.652173913 -0.209634499626 0.04085274245028329 1057
-7.82608695652 -0.186543356912 0.040583781811781024 1079
0.0 -0.222088932431 0.03991968410976481 1088
7.82608695652 -0.239257954927 0.04122002994574925 1050
15.652173913 -0.224929180224 0.04179917140889313 1056
23.4782608696 -0.226387044216 0.04091794056699511 1070
31.3043478261 -0.229835572281 0.04024388876587431 1104
39.1304347826 -0.224953446758 0.04119492975988956 1060
46.9565217391 -0.188457498334 0.038921522009448324 1149
54.7826086957 -0.137690521572 0.03771880658316959 1266
62.6086956522 -0.204955554614 0.03671650373711401 1306
70.4347826087 -0.150579783182 0.042320009659856266 1034
78.2608695652 -0.246916427672 0.04890697535564647 692
86.0869565217 -0.258639570476 0.08615139422227458 218
