CODIGO ESTACAO: 83565 
LATITUDE ESTACAO: -19.75 
bin_center media erro nobs
-86.0869565217 -0.519177464489 0.09286769543293452 199
-78.2608695652 -0.36249819307 0.06303803780423771 440
-70.4347826087 -0.266842307588 0.05780827655529013 583
-62.6086956522 -0.30482484044 0.05168029921837031 721
-54.7826086957 -0.250908155252 0.044529355513845945 994
-46.9565217391 -0.217687134172 0.040393867157618966 1228
-39.1304347826 -0.150043829275 0.043200270164296464 1044
-31.3043478261 -0.18912650192 0.044973598481670526 960
-23.4782608696 -0.250155342535 0.04490933733875153 935
-15.652173913 -0.264439101247 0.046728152524444885 905
-7.82608695652 -0.211831244737 0.04685621093279284 930
0.0 -0.151146984154 0.04603356380943036 909
7.82608695652 -0.188119450182 0.04569761676644781 922
15.652173913 -0.201405379784 0.04569886575970126 907
23.4782608696 -0.269781004059 0.044161156991865035 963
31.3043478261 -0.252726230779 0.0441518833449587 932
39.1304347826 -0.170190244806 0.04290554763938202 1094
46.9565217391 -0.215829141615 0.040954308606139585 1186
54.7826086957 -0.285315011907 0.04466689358876317 983
62.6086956522 -0.232626433989 0.05111225342360076 731
70.4347826087 -0.274045805982 0.0565873295045104 599
78.2608695652 -0.278871322076 0.06327180347698107 455
86.0869565217 -0.325072245346 0.08681611245597372 231
