CODIGO ESTACAO: 82789 
LATITUDE ESTACAO: -7.81 
bin_center media erro nobs
-86.0869565217 0.980133352792 0.10972988844140877 115
-78.2608695652 0.893360401882 0.05747428031678225 441
-70.4347826087 0.870805283012 0.04915610213691966 605
-62.6086956522 0.790979432414 0.04512848882428599 727
-54.7826086957 0.86830248152 0.04342593181692153 748
-46.9565217391 0.78960179396 0.04884246198285102 630
-39.1304347826 0.822727606187 0.04647199577295679 657
-31.3043478261 0.785346600379 0.046883212622402144 622
-23.4782608696 0.77169430847 0.047347430094117245 616
-15.652173913 0.763936521862 0.047156978822761486 635
-7.82608695652 0.848125738614 0.05023436144605296 605
0.0 0.833941660597 0.04767196962199077 626
7.82608695652 0.863292034547 0.04747234677289053 619
15.652173913 0.833426736221 0.047910472466990074 607
23.4782608696 0.766365560777 0.04955857676928397 631
31.3043478261 0.789712700453 0.04839119655134455 648
39.1304347826 0.799129853386 0.04748579834192958 635
46.9565217391 0.778045252258 0.047958652171878426 637
54.7826086957 0.8598889468 0.0449155449072511 724
62.6086956522 0.833485180488 0.04478142266147338 771
70.4347826087 0.78309779716 0.05002948331415057 590
78.2608695652 0.898124905925 0.05790397693705115 434
86.0869565217 0.978587163691 0.10608796517249947 125
