CODIGO ESTACAO: 82792 
LATITUDE ESTACAO: -7.88 
bin_center media erro nobs
-86.0869565217 -0.119964962594 0.0968815457277628 197
-78.2608695652 -0.0441672158127 0.053203181573630076 649
-70.4347826087 0.0687252566825 0.04489398772096663 935
-62.6086956522 0.0289016715578 0.03960297216504173 1121
-54.7826086957 0.0494492421158 0.039159657865669585 1206
-46.9565217391 0.0206760557014 0.04195119079778302 1052
-39.1304347826 -0.0379820737962 0.042385254652996474 1009
-31.3043478261 -0.00624915303759 0.04400993152015829 958
-23.4782608696 0.0512507448917 0.042730525396450544 976
-15.652173913 0.0712255334355 0.04485437033261164 959
-7.82608695652 -0.0141373371239 0.044041631337356106 953
0.0 -0.0119593503009 0.04253573632026407 969
7.82608695652 0.0467607651859 0.04413005543735453 961
15.652173913 -0.000909911068739 0.04321879551568617 969
23.4782608696 0.0680334905655 0.043267625472380326 962
31.3043478261 -0.0506285271422 0.04333994173261794 986
39.1304347826 0.065737638126 0.04299158684492606 1005
46.9565217391 0.0361718254129 0.040686553384983344 1062
54.7826086957 0.0987830747717 0.03955835645622428 1178
62.6086956522 0.0579124856338 0.03994785511718636 1153
70.4347826087 0.0893863624149 0.0446569427105675 896
78.2608695652 0.0318112499339 0.05543604921482542 628
86.0869565217 0.00351141558622 0.09840324686380103 198
