CODIGO ESTACAO: 83377 
LATITUDE ESTACAO: -15.78 
bin_center media erro nobs
-86.0869565217 -0.19355183729 0.06862740599035454 357
-78.2608695652 -0.082167409916 0.045038192141988634 886
-70.4347826087 -0.092466398713 0.04121539871851547 1054
-62.6086956522 -0.104857686683 0.03689622815982755 1309
-54.7826086957 -0.026942556922 0.030872221145453724 1811
-46.9565217391 -0.0167021155563 0.030475557763553714 1860
-39.1304347826 0.00203848648979 0.032611714621455054 1616
-31.3043478261 -0.0512834780497 0.033646808314674696 1564
-23.4782608696 -0.0243279604825 0.034616742500330144 1504
-15.652173913 -0.0484276481051 0.03486977651966369 1492
-7.82608695652 -0.107825682708 0.03458376780399122 1488
0.0 -0.0538401667722 0.03469179574660281 1478
7.82608695652 -0.0608809617032 0.034606936032441755 1497
15.652173913 -0.0365524408952 0.034295212215285566 1470
23.4782608696 -0.0481077240278 0.033713343510422704 1530
31.3043478261 -0.022227429714 0.03315326528579729 1586
39.1304347826 -0.0330374537646 0.03284688350680332 1588
46.9565217391 -0.00934540619449 0.029477608821221263 1890
54.7826086957 -0.0283600183425 0.0313007074894483 1735
62.6086956522 -0.0680654069769 0.03673056227395789 1297
70.4347826087 -0.11737295664 0.041457808357730414 1056
78.2608695652 -0.145093180848 0.04700545302970025 836
86.0869565217 -0.108473041582 0.06965313897290681 371
