CODIGO ESTACAO: 83997 
LATITUDE ESTACAO: -33.51 
bin_center media erro nobs
-86.0869565217 -0.32720216298 0.44305179201380196 13
-78.2608695652 -0.189499562929 0.1315957893002443 108
-70.4347826087 -0.264606121532 0.08211479354481023 297
-62.6086956522 -0.0969224480156 0.07252541848627209 369
-54.7826086957 -0.123512635008 0.06738430020204106 435
-46.9565217391 -0.155986595212 0.05921713621792667 586
-39.1304347826 -0.106622761442 0.051769847638132735 719
-31.3043478261 -0.0396878975922 0.051229449112942624 819
-23.4782608696 -0.0554418951224 0.05700901027127974 678
-15.652173913 -0.0980244110829 0.055332540684931014 661
-7.82608695652 -0.0793976046849 0.060286175847448935 576
0.0 -0.0838637012359 0.060402740123202826 574
7.82608695652 -0.0681756100138 0.05556118480611023 637
15.652173913 -0.103749485768 0.054756019079691486 633
23.4782608696 -0.129929155835 0.05554431413582518 679
31.3043478261 -0.11483114265 0.05029683553461059 811
39.1304347826 -0.0107053497846 0.055723272684757554 715
46.9565217391 -0.0167446314691 0.06074771696907102 564
54.7826086957 -0.0341141269692 0.0696034945586709 416
62.6086956522 -0.101377951792 0.07592621370380825 352
70.4347826087 -0.13214039697 0.08551682611029146 283
78.2608695652 -0.087294612477 0.13914967842997295 112
86.0869565217 0.363334857955 0.5315171292318297 9
