CODIGO ESTACAO: 83995 
LATITUDE ESTACAO: -32.03 
bin_center media erro nobs
-86.0869565217 -0.532820630876 0.32450258271326426 12
-78.2608695652 -0.512724476557 0.11444835889459225 135
-70.4347826087 -0.369732798986 0.0842017779443411 271
-62.6086956522 -0.0667021116203 0.07834392363624737 350
-54.7826086957 -0.190452102642 0.06943345096086244 438
-46.9565217391 -0.188458262646 0.06041940416583128 578
-39.1304347826 -0.279831391784 0.053264606324535405 719
-31.3043478261 -0.193827619255 0.05065620739714436 801
-23.4782608696 -0.178917994879 0.057443646424223775 647
-15.652173913 -0.167151479488 0.05699997262256745 606
-7.82608695652 -0.161357649303 0.05954860817972524 590
0.0 -0.0869071114838 0.059501771030628786 568
7.82608695652 0.00923575793921 0.05538371693827168 614
15.652173913 -0.213960551707 0.055788280055338285 626
23.4782608696 -0.224277231681 0.0562333585546972 663
31.3043478261 -0.199104855571 0.04990716737753714 812
39.1304347826 -0.0552939295124 0.052818456968182666 719
46.9565217391 -0.113452657947 0.060565745722208617 554
54.7826086957 -0.1256975807 0.07020386137402289 413
62.6086956522 -0.142853026984 0.07552121870911056 337
70.4347826087 -0.0966980854875 0.08568798383323104 269
78.2608695652 -0.278458165613 0.11707450560685173 134
86.0869565217 -0.0928152037591 0.3289176371652968 17
