--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 25/08/1976 a 25/08/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82024;22/09/1976;0000;30;24.8;66;999.8;5;1;4;
82024;22/09/1976;1200;27.3;23.8;75;1005.1;5;3;6;
82024;22/09/1976;1800;34.8;24;41;1001.8;5;3;6;
82024;23/09/1976;0000;30.1;24;60;1000;5;3;4;
82024;23/09/1976;1200;27.9;22.8;65;1005.4;5;7;6;
82024;23/09/1976;1800;35;23;36;1002.6;5;3;5;
82024;24/09/1976;0000;30.3;25.2;66;999.2;5;2;6;
82024;24/09/1976;1200;27.3;23.2;71;1003.6;5;5;8;
82024;24/09/1976;1800;24;23.7;98;1000.6;23;7;8;
82024;25/09/1976;0000;28.5;25.5;78;999.4;23;1;4;
82024;25/09/1976;1200;28;24.8;77;1000.6;5;3;9;
82024;25/09/1976;1800;32.5;23.8;48;997.4;5;3;8;
82024;26/09/1976;0000;27.8;25.5;83;998.7;23;2;6;
82024;26/09/1976;1200;26;24.1;86;1001.6;36;1;8;
82024;26/09/1976;1800;32.8;24.8;52;998.8;5;3;9;
82024;27/09/1976;0000;27.3;25.3;85;997.6;23;1;0;
82024;27/09/1976;1200;26.7;24.2;82;1001.9;5;3;9;
82024;27/09/1976;1800;34.5;23.8;40;998.6;5;5;8;
82024;28/09/1976;0000;29.3;24.2;66;997.4;5;3;4;
82024;28/09/1976;1200;26.1;23.9;83;1001.8;5;3;9;
82024;28/09/1976;1800;32.3;25.3;57;999.2;23;1;1;
82024;29/09/1976;0000;28.9;25.8;78;999.1;23;1;9;
82024;29/09/1976;1200;27.5;24.7;80;1001.6;5;3;9;
82024;29/09/1976;1800;34.5;24.7;44;998.4;5;3;7;
82024;30/09/1976;0000;30.3;24.7;63;999;5;2;6;
82024;30/09/1976;1200;27.3;24;76;1001.5;5;2;8;
82024;30/09/1976;1800;34.2;25.1;48;998.7;5;1;8;
82024;01/10/1976;0000;30.9;25.2;63;997.4;18;1;7;
82024;01/10/1976;1200;27.3;24.3;78;1002.7;5;3;8;
82024;01/10/1976;1800;34.4;25.4;48;998.8;5;2;5;
82024;02/10/1976;0000;28.5;25.6;79;998.7;5;1;9;
82024;02/10/1976;1200;23.8;22.5;90;1003.4;27;3;1;
82024;02/10/1976;1800;23.8;22.7;91;1002.3;23;5;1;
82024;03/10/1976;0000;24.2;23.2;92;999.1;5;2;9;
82024;03/10/1976;1200;24.9;23;89;1002.3;18;1;8;
82024;03/10/1976;1800;31.3;25;60;999.1;9;2;8;
82024;04/10/1976;0000;28.6;24.8;74;997.5;14;1;5;
82024;04/10/1976;1200;27.2;24.2;78;1002;5;7;7;
82024;04/10/1976;1800;34;24;43;998.7;5;1;6;
82024;05/10/1976;0000;29.5;25;70;997.6;5;1;3;
82024;05/10/1976;1200;27;24.6;82;1001.8;5;3;5;
82024;05/10/1976;1800;34;25.2;49;998;5;5;6;
82024;06/10/1976;0000;29.6;25.6;73;997;5;1;4;
82024;06/10/1976;1200;27.4;24.4;78;1000.8;5;5;8;
82024;06/10/1976;1800;32.8;25;53;997.9;5;3;8;
82024;07/10/1976;0000;30;25;67;997.9;23;1;8;
82024;07/10/1976;1200;26.7;24.5;84;1001.8;14;2;9;
82024;07/10/1976;1800;31.8;26.5;66;998.2;18;3;8;
82024;08/10/1976;0000;28.1;25.6;82;997.9;23;2;8;
