--------------------
BDMEP - INMET
--------------------
Estação           : OBIDOS - PA (OMM: 82178)
Latitude  (graus) : -1.91
Longitude (graus) : -55.51
Altitude  (metros): 37.00
Estação Operante
Inicio de operação: 01/01/1927
Periodo solicitado dos dados: 01/01/1900 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82178;27/01/1971;1200;23.7;22.5;90;1009.9;9;2.4;0.7;
82178;27/01/1971;1800;32.4;26.2;61;1007.6;18;4.4;0.7;
82178;28/01/1971;0000;26.5;24.8;87;1005.2;0;0;0;
82178;28/01/1971;1200;22.5;21.2;89;1008.8;14;4.4;0.6;
82178;28/01/1971;1800;29.5;25.4;72;1006.7;18;2.4;0.7;
82178;29/01/1971;0000;25.6;24.5;91;1005.6;0;0;0;
82178;29/01/1971;1200;25.4;22.8;80;1009.2;9;4.4;0.6;
82178;29/01/1971;1800;26.8;24.8;85;1007.4;14;2.4;0.7;
82178;30/01/1971;0000;24;23;92;1005.5;36;4.4;0;
82178;30/01/1971;1200;23.6;22.8;94;1009;0;0;0.6;
82178;30/01/1971;1800;30;25.7;71;1006.2;5;2.4;0.7;
82178;31/01/1971;0000;24;23;92;1004.8;36;4.4;0.5;
82178;31/01/1971;1200;25.4;23.5;85;1008.3;0;0;0.6;
82178;31/01/1971;1800;31;26.8;72;1005.5;18;0.9;0.7;
82178;01/02/1971;0000;23;22.8;98;1004.6;0;0;0.5;
82178;01/02/1971;1200;24;23;92;1007.9;9;0.9;0.7;
82178;01/02/1971;1800;32.8;27;64;1005.4;14;4.4;0.7;
82178;02/02/1971;0000;27;24.8;84;1004.8;14;0.9;0.4;
82178;02/02/1971;1200;24;23;92;1007.9;9;2.4;0.5;
82178;02/02/1971;1800;32.8;27.6;67;1004;18;4.4;0.7;
82178;03/02/1971;0000;25;23.8;91;1005.6;36;2.4;0.5;
82178;03/02/1971;1200;23.8;22.5;90;1007.8;14;0.9;0.7;
82178;03/02/1971;1800;29;25;72;1005.8;0;0;0.7;
82178;04/02/1971;0000;25;24;92;1004.6;9;2.4;0.6;
82178;04/02/1971;1200;24.7;23;87;1006.7;9;0.9;0.8;
82178;04/02/1971;1800;28.5;24.8;74;1003.6;36;4.4;0.7;
82178;05/02/1971;0000;23.5;22.7;94;1003.5;9;0.9;0.6;
82178;05/02/1971;1200;25;23;84;1006.2;36;4.4;0.7;
82178;05/02/1971;1800;32;26;62;1003.6;9;2.4;0.7;
82178;06/02/1971;0000;24.2;23.7;88;1004.4;36;0.9;0.7;
82178;06/02/1971;1200;24;23;92;1008.2;9;2.4;0.7;
82178;06/02/1971;1800;28;24.8;77;1006;18;4.4;0.7;
82178;07/02/1971;0000;25;23;84;1005.8;9;2.4;0.6;
82178;07/02/1971;1200;25;23;84;1007.9;0;0;0.6;
82178;07/02/1971;1800;28.5;25;75;1005.9;0;0;0.7;
82178;08/02/1971;0000;27.5;24.7;80;1004;0;0;0.6;
82178;08/02/1971;1200;22.8;22;93;1006.8;9;0.9;0.7;
82178;08/02/1971;1800;26.5;24;81;1005.9;36;4.4;0.8;
82178;09/02/1971;0000;24;23;92;1005.2;0;0;0.5;
82178;09/02/1971;1200;23.5;22.5;92;1007.9;9;0.9;0.6;
82178;09/02/1971;1800;30;25;67;1005.9;18;2.4;0.7;
82178;10/02/1971;0000;24.7;23.8;93;1006.2;9;0.9;0.6;
82178;10/02/1971;1200;24;23.5;96;1008.6;9;2.4;0.8;
82178;10/02/1971;1800;30;26;73;1006.4;14;4.4;0.7;
82178;11/02/1971;0000;24;23;92;1005.1;36;2.4;0.5;
82178;11/02/1971;1200;27.6;24.2;76;1007.4;0;0;0.6;
82178;11/02/1971;1800;29.5;26;76;1004.8;14;2.4;0.7;
82178;12/02/1971;0000;26;24.8;91;1003.9;9;0.9;0.6;
82178;12/02/1971;1200;25.5;23.5;85;1007;36;2.4;0.6;
82178;12/02/1971;1800;32.2;27;67;1004.4;18;0.9;0.7;
82178;13/02/1971;0000;25.5;24.2;90;1004.8;9;4.4;0;
82178;13/02/1971;1200;23.8;22.6;90;1007.2;9;2.4;0.6;
82178;13/02/1971;1800;31;26.5;70;1004.7;18;0.9;0.7;
82178;14/02/1971;0000;26;24.6;89;1004.6;14;4.4;0.6;
82178;14/02/1971;1200;24;23;92;1008;36;2.4;0.6;
